symbol,date,open,high,low,close,usd_volume,crypto_volume,usd_volume_mil
BTC,2020-02-13,10339.4685845639,10488.815897371,10094.0127104069,10225.3954195325,6950942314.91624,676327.897253645,6950.942314916239
BTC,2020-02-14,10225.3954195325,10378.5436543503,10099.7999882793,10347.9412053541,5486930059.77042,535606.300143091,5486.9300597704205
BTC,2020-02-15,10347.9412053541,10378.8595290742,9825.82133722837,9899.92905239554,5648798169.25711,559214.084665502,5648.798169257109
BTC,2020-02-16,9899.92905239554,10043.7630657183,9663.14118861155,9938.8747781215,5317747147.77615,537565.479866058,5317.74714777615
BTC,2020-02-17,9938.8747781215,9949.16615941486,9470.11672413356,9705.57263992697,6215664393.60734,641118.830418178,6215.66439360734
BTC,2020-02-18,9705.57263992697,10236.5349457739,9606.50084790717,10176.9112915874,6723928175.45132,682361.575027511,6723.9281754513195
BTC,2020-02-19,10176.9112915874,10251.2017680659,9439.72035561191,9603.59179932087,6467980948.36015,646893.580422978,6467.98094836015
BTC,2020-02-20,9603.59179932087,9823.1572713557,9452.91898425906,9753.18206686123,6052366542.57326,627099.721116208,6052.366542573261
BTC,2020-02-21,9753.18206686123,9925.23996240024,9580.56100192469,9725.82402100957,5115669961.11794,525230.585732559,5115.66996111794
BTC,2020-02-22,9725.82402100957,9910.77565698663,9576.01605618774,9864.95845678748,3838852787.40097,394834.535243013,3838.85278740097
BTC,2020-02-23,9864.95845678748,10094.8520973966,9667.34446579904,9976.31729254294,5015853285.53806,506102.681167485,5015.85328553806
BTC,2020-02-24,9976.31729254294,10075.8315076035,9506.82167078872,9794.02400647799,6206182761.13861,635038.777443814,6206.18276113861
BTC,2020-02-25,9794.02400647799,9797.23927607621,9295.62740500169,9370.60782070447,6057375271.72221,634020.735571533,6057.37527172221
BTC,2020-02-26,9370.60782070447,9545.55300864433,8661.40695320889,8805.10601546749,7991100591.34137,876623.52447597,7991.100591341369
BTC,2020-02-27,8805.10601546749,9225.27879623655,8545.68872269119,8834.23208091019,6962809941.42424,781199.284307856,6962.80994142424
BTC,2020-02-28,8834.23208091019,9191.95865506362,8473.42526944704,8704.42728079738,6357112532.87679,723183.570319904,6357.11253287679
BTC,2020-02-29,8704.42728079738,9028.30567584193,8523.04038517677,8523.04038517677,4253162986.44887,484633.006380336,4253.1629864488705
BTC,2020-03-01,8523.04038517677,8970.20894652638,8441.21916494051,8654.73740278669,4850140734.59183,556422.108160521,4850.140734591831
