date,symbol,open,high,low,close,usd_volume,crypto_volume,return,return_2w,return_4w,usd_v_7d,usd_v_14d,momentum_14,volatility_14,VaR_5,drawdown,strev_daily,strev_weekly,pos_avg,neg_avg,neu_avg,comp_avg,sentiment_index,ols_predicted_return,ols_strategy_signal,ols_strategy_return,ridge_predicted_return,ridge_strategy_signal,ridge_strategy_return,gradientboosting_predicted_return,gradientboosting_strategy_signal,gradientboosting_strategy_return,ew_strategy_signal,ew_strategy_return
2025-02-17,AAVE,254.208756724363,278.890261798217,250.742567346531,265.008135454532,351636529.657539,1328979.78596619,0.0424823238558957,0.0450066629619549,0.0315076738024977,0.4660952713335469,0.1058221103503882,-0.1709717672188002,0.675419667007541,-0.0974006746783162,-0.5789991397709575,0.0416047190131598,0.0424823238558957,0.6475088577270508,0.0041512951421318,0.3483398256958462,0.9985570846352436,0.9985570846352436,0.042482323855893664,1,0.0424823238558957,0.03781494979020662,1,0.0424823238558957,0.04291024781786869,1,0.0424823238558957,1,0.0424823238558957
2025-02-26,AAVE,205.272006057649,211.506411693153,192.746379910865,202.590766149987,311681126.803602,1527525.60235516,-0.0130618877807868,-0.0394387709161212,-0.1804929216403767,0.2303346787586235,0.2640987338116858,-0.0238324164314882,1.037663509539607,-0.1283060944051993,-0.6781574774022784,-0.013147944433296,-0.0130618877807868,0.1131504348022863,0.0285837639308883,0.8582658326625824,0.4999166692063552,0.4999166692063552,-0.013061887780788583,0,-0.0,-0.016167967357038036,0,-0.0,-0.01315544325345864,0,-0.0,1,-0.0130618877807868
2025-03-06,AAVE,221.365877436356,239.723817750791,208.692341083508,208.798113080658,447492532.267486,1980740.53601173,-0.0567737200567928,0.0094502250377699,-0.0678926368508121,0.3482912672294169,0.4349560045723315,-0.2062992161077559,1.8525164991235423,-0.1226960510324998,-0.6682962767524554,-0.0584490676119221,-0.0567737200567928,0.5475827078819275,0.0242876158105209,0.4281296993286814,0.9415945697881865,0.9415945697881865,-0.05677372005679497,0,-0.0,-0.04379326327290112,0,-0.0,-0.05655366158613831,0,-0.0,1,-0.0567737200567928
2025-03-07,AAVE,208.798113080658,212.042533205132,195.967756647827,196.969893957813,364079321.786183,1770392.23768222,-0.0566490709534132,-0.1102066125144195,0.0865687315552847,0.0326080271443487,0.1671094814036884,-0.2676231248330644,1.8396884241801343,-0.1226960510324998,-0.6870869845062169,-0.0583169244873609,-0.0566490709534132,0.6376051409244538,0.0343166590322507,0.3280781783172861,0.9949380081254589,0.9949380081254589,-0.05664907095341629,0,-0.0,-0.054641071865970704,0,-0.0,-0.056579715309393694,0,-0.0,1,-0.0566490709534132
2025-03-13,AAVE,175.050901622941,176.179834073196,160.347576364132,162.925822149971,338867237.201929,1994818.78387054,-0.0692660212575619,-0.1055528589664003,-0.0883713606622099,-0.0824045434531051,-0.0089920774333833,-0.2016413806106685,1.7413991810921885,-0.1305279275922568,-0.7411705449683064,-0.0717817796544547,-0.0692660212575619,0.475691575232654,0.09392700649575757,0.43021475462969905,0.7748809601461222,0.7748809601461222,-0.06926602125756445,0,-0.0,-0.06516364520645981,0,-0.0,-0.06993871288772174,0,-0.0,1,-0.0692660212575619
2025-03-16,AAVE,173.351155463314,174.097888010374,163.816961693851,165.002544209149,147693153.844682,874966.846554066,-0.048160113105977,-0.0479273981920433,-0.0574024887654457,-0.7864472264676827,-0.8565257748757951,-0.2792528796758978,1.5776604698869927,-0.1305279275922568,-0.7378713942766832,-0.0493584443713191,-0.048160113105977,0.6174285581111908,0.0116337231005891,0.3709377256931038,0.9926943349039868,0.9926943349039868,-0.04816011310597968,0,-0.0,-0.04292354853041412,0,-0.0,-0.047812193048497924,0,-0.0,1,-0.048160113105977
2025-03-17,AAVE,165.002544209149,177.159291144573,164.91647223191,174.881518870284,200639311.679634,1170922.58422601,0.0598716505159635,0.0088281119492963,0.0733812268831637,-0.4299626989439318,-0.5162937977056892,-0.1438053847035478,1.229259991722499,-0.1305279275922568,-0.7221773220045802,0.0581478163737634,0.0598716505159635,0.6414634985923767,0.0111179927833921,0.3474184959107078,0.9991950191608344,0.9991950191608344,0.05987165051596104,1,0.0598716505159635,0.04610795365142386,1,0.0598716505159635,0.060599364564076254,1,0.0598716505159635,1,0.0598716505159635
2025-03-20,AAVE,182.551357689575,183.089115980924,171.738074929534,178.724010397132,207520280.219773,1174894.26279079,-0.0209658659397721,0.0506389388256469,0.0831591188714662,-0.0488509662661194,-0.3447452011029384,-0.2010007554791522,0.9618817435111962,-0.1305279275922568,-0.7160730103937263,-0.0211887708079307,-0.0209658659397721,0.1509912486523389,0.5141985669136048,0.3348101773036178,0.0460431260181329,0.0460431260181329,-0.020965865939774737,0,-0.0,-0.008595093938705554,0,-0.0,-0.021155116078516684,0,-0.0,1,-0.0209658659397721
2025-03-24,AAVE,185.097568125298,194.545738899842,181.617679754762,190.833622624365,178543830.531086,937989.397434886,0.0309893563549366,0.0612137370231642,0.0677559338575994,-0.0370649940526242,-0.3239639928645133,-0.0352800302971948,0.8255174702374848,-0.1305279275922568,-0.6968352720655762,0.0305188813684754,0.0309893563549366,0.1007548563061282,0.6113382289409638,0.287906918012537,-0.7528828718080927,-0.7528828718080927,0.03098935635493423,0,0.0,0.03245070563269346,0,0.0,0.03103145853327544,0,0.0,1,0.0309893563549366
2025-04-07,AAVE,128.978266608065,135.452284904453,114.493361330951,132.010048878869,420768973.834889,3336900.73540002,0.0235061483654208,-0.1350745973447419,-0.1273763764887403,0.7831938012193476,0.8133131807508533,-0.0869210054180509,1.0779820417138806,-0.0967844509581326,-0.7902843848866778,0.0232341332974716,0.0235061483654208,0.0893861073553562,0.5772313022613526,0.3328825605809689,-0.931294787390571,-0.931294787390571,0.023506148365418908,0,0.0,0.004181837071066992,0,0.0,0.023562005950236893,0,0.0,1,0.0235061483654208
