date,market_sentiment_index
2025-02-06,0.255805566802468
2025-02-07,-0.10346652974999482
2025-02-10,0.9963961913986042
2025-02-11,0.489059991125755
2025-02-12,0.6489681473523676
2025-02-13,0.8647012395046159
2025-02-15,0.2549610000426835
2025-02-16,0.997060449622347
2025-02-17,-0.1695149937083648
2025-02-19,0.8313840630559243
2025-02-20,0.6262434357588822
2025-02-21,-0.4974188868949063
2025-02-22,0.6747774699022393
2025-02-23,-0.5971641226008562
2025-02-24,0.5236824429723982
2025-02-25,0.01593367831229096
2025-02-26,0.9298109904080708
2025-02-27,-0.4170944521065308
2025-02-28,0.5167484901884398
2025-03-01,0.9988619857125174
2025-03-02,-0.13001962155277436
2025-03-03,0.581926450238604
2025-03-04,0.7811732235649382
2025-03-05,0.41685251472244467
2025-03-06,0.7497066108634572
2025-03-07,0.9156189731981248
2025-03-08,0.22679968875159398
2025-03-09,-0.4930319844351079
2025-03-10,0.38441157944250026
2025-03-11,0.8083114979178899
2025-03-12,0.9978623259598488
2025-03-13,0.24195727900738292
2025-03-14,-0.24996884719916768
2025-03-15,0.8424393444592396
2025-03-16,-0.4592677808551127
2025-03-17,0.5194816618169924
2025-03-18,-0.3204209967189133
2025-03-19,0.7051416807114818
2025-03-20,0.7327953084759639
2025-03-21,0.2640633427108982
2025-03-22,0.9080292029103616
2025-03-23,0.0974068055585749
2025-03-24,-0.3066568878876002
2025-03-25,0.6124813673174947
2025-03-26,0.8113508016065495
2025-03-27,0.1309362999616207
2025-03-29,0.9140119692857416
2025-03-30,0.4888948683959092
2025-03-31,0.31076089907906823
2025-04-01,-0.11200677562211706
2025-04-03,0.26332165284341813
2025-04-05,0.32530450623395324
2025-04-06,0.997948784886043
2025-04-08,0.4995808050399021
2025-04-09,0.6846677420801233
2025-04-10,0.4889741680745785
2025-04-11,0.47595703975368747
2025-04-12,0.5239813979353302
2025-04-14,-0.922346989653798
2025-04-15,-0.18838515238694442
2025-04-16,0.7464994691586359
2025-04-17,0.14331040442359708
2025-04-18,0.25231464416456906
2025-04-19,0.9730864266644548
2025-04-20,-0.3737889962285474
2025-04-21,0.7923798137267498
2025-04-22,0.4267743945105163
2025-04-23,0.1099027490474516
2025-04-24,0.7340338774337952
2025-04-25,0.007057703820987709
2025-04-26,0.9962757021818187
2025-04-27,-0.4919267865990545
2025-04-29,0.5403034271358769
2025-04-30,0.0775736593309482
2025-05-01,0.47686215256541037
2025-05-02,0.1276221687211098
2025-05-04,0.996798033261556
2025-05-05,0.3359566714686868
2025-05-06,0.727918901668996
2025-05-07,0.997139462256473
2025-05-08,0.1416077402002598
2025-05-09,0.3041135454037881
2025-05-10,0.8157759457201132
2025-05-12,0.7532605921366029
2025-05-13,0.23742961002668894
2025-05-14,0.7449044911495877
2025-05-15,0.997155701830448
2025-05-16,0.9980259639952868
2025-05-17,0.21730238674836125
2025-05-18,0.2690977486106498
2025-05-20,0.9853341875576438
2025-05-21,0.9982705703148717
2025-05-22,-0.7463369700429111
2025-05-23,0.4685591945306552
2025-05-26,0.9969885780169145
2025-05-27,0.11795132006696596
2025-05-28,0.8901724844900372
2025-05-29,0.5350094991628385
2025-05-30,0.2421501757840097
2025-05-31,0.2321617998065172
2025-06-01,-0.4924926251330566
2025-06-03,0.0055552222039937
2025-06-04,-0.4693111804910077
2025-06-05,0.5049409555288684
2025-06-07,0.8639169562261748
2025-06-08,0.07140153115019188
2025-06-10,0.4819642464222884
2025-06-11,0.7504556915360119
2025-06-12,-0.03197317275800737
2025-06-14,0.1929526145008104
2025-06-16,0.9933105369259934
2025-06-17,0.4980139414159121
2025-06-18,0.12458546173964632
2025-06-19,-0.4680571315476168
2025-06-20,0.030604595428930598
2025-06-21,-0.7390784392447349
2025-06-23,-0.6343556752447184
2025-06-24,0.4999728119954284
2025-06-25,0.6252060088391463
2025-06-27,0.6660894798832616
2025-06-28,0.9978960193924854
2025-06-29,0.13559357543284184
2025-06-30,-0.4950183896947386
2025-07-01,0.9984328882747108
2025-07-02,0.41595951070145626
2025-07-03,0.7913464841971138
2025-07-04,0.627118943303494
2025-07-05,0.1430646211177401
2025-07-07,0.8773022694608834
2025-07-08,-0.4250318808884202
2025-07-09,0.6140171025160359
2025-07-10,0.5651146501802183
2025-07-11,0.21188318916246054
2025-07-12,0.19964786808128188
2025-07-13,0.5441478659233169
2025-07-14,0.0719633529253373
2025-07-15,0.9238319776909566
2025-07-16,0.019249143601425905
2025-07-18,-0.0104952192617805
2025-07-20,0.230862741494382
2025-07-21,0.48615887281140574
2025-07-22,0.6165084599570616
2025-07-23,0.6902881426909384
2025-07-24,0.5144616072282884
2025-07-25,-0.4850067333426354
2025-07-26,-0.07819049926876254
2025-07-28,0.005536039691769495
2025-07-29,0.5021020396307814
2025-07-30,0.3884329334734267
2025-07-31,-0.012992383037960631
2025-08-02,0.5038555190380166
2025-08-03,-0.0084545489797614
