symbol,date,open,high,low,close,usd_volume,crypto_volume,usd_volume_mil
OKB,2020-02-13,5.92063925035679,6.20939470312805,5.60409304257982,5.9049043159907,264312155.095662,44779079.6850049,264.312155095662
OKB,2020-02-14,5.9049043159907,6.45703202814842,5.86258042555368,6.4449212239615,257301465.09602,41256909.7340064,257.30146509602
OKB,2020-02-15,6.4449212239615,7.07637616607097,6.19095178149024,6.73002034823527,363770922.426236,54942134.7193111,363.770922426236
OKB,2020-02-16,6.73002034823527,7.43671806487017,6.31401555353298,6.73050971365573,435622638.507112,63268560.7758055,435.622638507112
OKB,2020-02-17,6.73050971365573,6.84872862592669,6.10858320017093,6.64016961183368,330373418.070828,51126652.2258976,330.373418070828
OKB,2020-02-18,6.64016961183368,6.85644246683233,6.3627819496505,6.76344391573054,172989361.262932,26033004.4750801,172.989361262932
OKB,2020-02-19,6.76344391573054,7.50893799315563,6.60541503562484,6.76211830060077,325187352.385804,46183491.6003359,325.187352385804
OKB,2020-02-20,6.76211830060077,7.09113398610563,6.46122479885186,6.5786755138306,277569087.276114,41418059.1519932,277.569087276114
OKB,2020-02-21,6.5786755138306,6.88237197246098,6.5362423108234,6.66768796592539,227010453.206689,33831053.4867928,227.010453206689
OKB,2020-02-22,6.66768796592539,6.74823999682554,5.62667180749443,5.78533807730458,265288530.228841,42709297.625932,265.288530228841
OKB,2020-02-23,5.78533807730458,6.62057682811326,5.78010642938664,6.56708167039552,278040922.775995,44349939.408918,278.040922775995
OKB,2020-02-24,6.56708167039552,6.6076923509181,5.92466656368975,6.14496217385827,229738028.997459,36808969.7487365,229.738028997459
OKB,2020-02-25,6.14496217385827,6.15259860476575,5.51379992299739,5.66019379731634,223285578.201653,38324795.314404,223.285578201653
OKB,2020-02-26,5.66019379731634,5.70447025087165,5.07773326522833,5.65532017829675,232283167.315328,43158651.7845912,232.283167315328
OKB,2020-02-27,5.65532017829675,5.66337706502562,5.29884291859888,5.54792100986666,191153295.452391,34588042.953321,191.153295452391
OKB,2020-02-28,5.54792100986666,5.8446240782596,5.28666825757765,5.65967648224049,153623853.197734,27477153.4556973,153.623853197734
OKB,2020-02-29,5.65967648224049,6.4212230733769,5.65967648224049,5.8206542535575,215460735.393053,36066364.78417,215.460735393053
OKB,2020-03-01,5.8206542535575,5.92537567367077,5.32710919791187,5.47243953027974,167444594.166139,29731405.0426687,167.444594166139
